LTL Formula,Ground Truth
F (((FALSE  <->  FALSE)  <->  !(FALSE))),Yes
((((TRUE  <->  ricugogyhe)  U  (TRUE  &  petefynyze))  S  Y (G (vydugu)))  U  !(!((homenu  &  figisocuwe)))),Yes
FALSE,Yes
(ronufyzyda  ->  kifyma),Yes
(((lunomebaku  <->  TRUE)  ->  O (TRUE))  |  (H (wofefopu)  &  (FALSE  &  qojumi))),Yes
TRUE,Yes
pujofa,Yes
F ((!(Y (FALSE))  |  Y ((TRUE  |  lefupe)))),Yes
FALSE,Yes
(H (Y (X ((H (fovyli)  <->  H (dywuse)))))  S  (O ((Y ((TRUE  <->  TRUE))  |  (F (nicudyby)  &  Y (TRUE))))  |  Y ((G (G (vigudu))  <->  (H (lydihofu)  U  Y (FALSE)))))),Yes
((F (!(X ((TRUE  S  TRUE))))  &  H (F (!(X (FALSE)))))  &  !(Y (G (!((FALSE  |  jizyra)))))),Yes
O ((!(FALSE)  ->  (TRUE  ->  fomyzaruty))),Yes
!((F ((((qizysoxa  &  hexude)  <->  (rudecesivo  |  puzoji))  &  !(O (FALSE))))  <->  ((X (X (TRUE))  <->  X ((bykesa  S  pyqedodo)))  U  X (!(G (muqyqu)))))),Yes
H (ryvuze),Yes
X ((G (H ((TRUE  S  TRUE)))  U  X (((cumopiky  |  nyqakeso)  &  H (TRUE))))),Yes
lupezade,Yes
G (F (Y (!(FALSE)))),Yes
F (cunani),Yes
!(!(X (G (X (Y (gacypuka)))))),Yes
H (lydujiko),Yes
O (Y (Y (TRUE))),Yes
O (habihytyni),Yes
!(TRUE),Yes
pyfetamaqa,Yes
O (F (F ((((TRUE  &  FALSE)  <->  (wawojo  ->  liwyfi))  <->  ((TRUE  <->  xylury)  &  Y (FALSE)))))),Yes
((O (((X (TRUE)  S  (japywylu  |  TRUE))  ->  ((TRUE  ->  zugary)  U  (zodociwe  U  jyxufy))))  U  G (H (F ((diwaga  <->  FALSE)))))  U  (O (X (!((TRUE  |  luketo))))  U  O ((((qyhokoxeny  S  jacuvyfo)  <->  !(TRUE))  |  (H (FALSE)  S  (FALSE  U  sypapovi)))))),Yes
H (G ((H (TRUE)  S  (TRUE  |  qihumosymy)))),Yes
((X (G ((zypazo  <->  gomedytaca)))  <->  (H (H (tosyvajy))  S  F (O (vikuka))))  &  !((((valujapo  <->  TRUE)  U  (kikubi  S  fyhapa))  <->  F ((TRUE  S  TRUE))))),Yes
!((!(kyrokagefo)  |  G (FALSE))),Yes
G (X (habenu)),Yes
X ((Y (FALSE)  ->  (vufalu  |  FALSE))),Yes
(((zawaropylu  <->  TRUE)  U  (naxypyzi  U  vaxuqabune))  U  X ((FALSE  S  dojohilava))),Yes
H (O (F (((FALSE  S  qiguma)  &  (FALSE  ->  qicalumefe))))),Yes
!(FALSE),Yes
